Location,lng,lat,sum_vehicle
PORTLAND ST AT QUEEN ST W (PX 2088),-79.401413,43.647709,4062
ADELAIDE ST AT BATHURST ST (PX 1883),-79.403233,43.645192,27730
ADELAIDE ST AT BAY ST (PX 62),-79.38081,43.649892,17747
ADELAIDE ST AT BERKELEY ST (PX 1964),-79.364784,43.652988,2416
ADELAIDE ST AT BRANT ST (PX 1807),-79.39815099,43.646232,2711
ADELAIDE ST AT CHURCH ST (PX 17),-79.374946,43.651185,10031
ADELAIDE ST AT DUNCAN ST (PX 1266),-79.388683,43.6482,5577
ADELAIDE ST AT FREDERICK ST (PX 2346),-79.36985499,43.651892,4096
ADELAIDE ST AT GEORGE ST (PX 1963),-79.371078,43.651604,4830
ADELAIDE ST AT JARVIS ST (PX 4),-79.372365,43.651527,58497
ADELAIDE ST AT JOHN ST (PX 1090),-79.390293,43.647856,9870
ADELAIDE ST AT ONTARIO ST,-79.36620852,43.65269571,2091
ADELAIDE ST AT PARLIAMENT ST (PX 214),-79.363598,43.653564,5182
ADELAIDE ST AT PETER ST (PX 270),-79.392859,43.64732,10380
ADELAIDE ST AT PORTLAND ST (PX 1488),-79.400636,43.645733,4974
ADELAIDE ST AT SHEPPARD ST (PX 1644),-79.38213,43.649614,7936
ADELAIDE ST AT SHERBOURNE ST (PX 255),-79.368637,43.652148,9069
ADELAIDE ST AT SIMCOE ST (PX 198),-79.386621,43.648638,7617
ADELAIDE ST AT SPADINA AVE (PX 274),-79.39557,43.64674,38150
ADELAIDE ST AT UNIVERSITY AVE (PX 78),-79.385556,43.648869,57381
ADELAIDE ST AT VICTORIA ST (PX 26),-79.377245,43.650669,6930
ADELAIDE ST AT YONGE ST (PX 32),-79.37847,43.650407,27417
ADELAIDE ST AT YORK ST (PX 73),-79.38411,43.649188,8062
ADELAIDE ST W AT BATHURST ST SOUTH INTERSECTION,-79.40310557,43.64489043,3597
ALBANY AVE AT BLOOR ST W AND LIPPINCOTT ST,-79.40999267,43.66538917,2569
ALBERT ST AT BAY ST (PX 65),-79.382641,43.65297,4391
ALEXANDER ST AT CHURCH ST (PX 1480),-79.380111,43.663697,4732
ALEXANDER ST AT GROSVENOR ST & YONGE ST (PX 867),-79.383788,43.663021,6405
AMELIA ST AT PARLIAMENT ST & PROSPECT ST,-79.36919146,43.66727011,1996
ARMOURY ST AT UNIVERSITY AVE (PX 166),-79.387582,43.653107,20060
AUGUSTA AVE AT COLLEGE ST (PX 826),-79.4032,43.657382,2770
AUGUSTA AVE AT QUEEN ST (PX 552),-79.39967599,43.648067,5047
AUGUSTA AVE AT WALES AVE,-79.40156883,43.65334681,342
AVENUE RD AT BLOOR ST W & QUEENS PARK (PX 86),-79.394141,43.66872,48264
BALDWIN ST AT BEVERLEY ST,-79.3946631,43.65576786,2888
BALDWIN ST AT HURON ST,-79.39696865,43.65528537,372
BALDWIN ST AT SPADINA AVE,-79.39892622,43.65513803,988
BATHURST ST AT BLOOR ST (PX 321),-79.411212,43.665115,22738
BATHURST ST AT BRUYERES MEWS,-79.4000309,43.63737152,2952
BATHURST ST AT CARR ST & ROBINSON ST (PX 1808),-79.404649,43.648831,2561
BATHURST ST AT COLLEGE ST (PX 300),-79.407722,43.656481,13714
BATHURST ST AT DUNDAS ST (PX 196),-79.40602201,43.652311,9445
BATHURST ST AT FG GARDINER UNDERPASS,-79.400135,43.637615,4964
BATHURST ST AT FLEET ST,-79.39972093,43.63663156,2812
BATHURST ST AT FORT YORK BLVD (PX 1919),-79.400649,43.638839,17739
BATHURST ST AT FRONT ST (PX 297),-79.40142099,43.640749,29091
BATHURST ST AT HARBORD ST (PX 303),-79.409769,43.661514,10135
BATHURST ST AT KING ST (PX 201),-79.402705,43.643926,32465
BATHURST ST AT LAKE SHORE BLVD W (PX 216),-79.399649,43.636484,26963
BATHURST ST AT LENNOX ST (PX 1683),-79.410716,43.66383,4779
BATHURST ST AT NASSAU ST (PX 2253),-79.406835,43.654287,5615
BATHURST ST AT NIAGARA ST (PX 2363),-79.401895,43.641915,16112
BATHURST ST AT QUEEN ST (PX 296),-79.40401,43.647188,29182
BATHURST ST AT QUEENS QUAY (PX 1593),-79.398365,43.635674,6830
BATHURST ST AT RICHMOND ST (PX 298),-79.40376,43.646471,7673
BATHURST ST AT ULSTER ST (PX 1594),-79.409089,43.659806,6602
BATHURST ST AT WELLINGTON ST,-79.4021959,43.64265536,9960
